domain,type,sponsor
.aaa,generic,"American Automobile Association, Inc."
.aarp,generic,AARP
.abb,generic,ABB Ltd
.abbott,generic,"Abbott Laboratories, Inc."
.abbvie,generic,AbbVie Inc.
.abogado,generic,Top Level Domain Holdings Limited
.abudhabi,generic,Abu Dhabi Systems and Information Centre
.ac,country-code,Network Information Center (AC Domain Registry) c/o Cable and Wireless (Ascension Island)
.academy,generic,"Half Oaks, LLC"
.accenture,generic,Accenture plc
.accountant,generic,dot Accountant Limited
.accountants,generic,"Knob Town, LLC"
.aco,generic,ACO Severin Ahlmann GmbH & Co. KG
.active,generic,"The Active Network, Inc"
.actor,generic,United TLD Holdco Ltd.
.ad,country-code,Andorra Telecom
.adac,generic,Allgemeiner Deutscher Automobil-Club e.V. (ADAC)
.ads,generic,Charleston Road Registry Inc.
.adult,generic,ICM Registry AD LLC
.ae,country-code,Telecommunication Regulatory Authority (TRA)
.aeg,generic,Aktiebolaget Electrolux
.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
.af,country-code,Ministry of Communications and IT
.afl,generic,Australian Football League
.ag,country-code,UHSA School of Medicine
.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation)
.agency,generic,"Steel Falls, LLC"
.ai,country-code,Government of Anguilla
.aig,generic,"American International Group, Inc."
.airforce,generic,United TLD Holdco Ltd.
.airtel,generic,Bharti Airtel Limited
.akdn,generic,Fondation Aga Khan (Aga Khan Foundation)
.al,country-code,Electronic and Postal Communications Authority - AKEP
.alibaba,generic,Alibaba Group Holding Limited
.alipay,generic,Alibaba Group Holding Limited
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
.ally,generic,Ally Financial Inc.
.alsace,generic,REGION D ALSACE
.am,country-code,"""Internet Society"" Non-governmental Organization"
.amica,generic,Amica Mutual Insurance Company
.amsterdam,generic,Gemeente Amsterdam
.an,country-code,Retired
.analytics,generic,Campus IP LLC
.android,generic,Charleston Road Registry Inc.
.anquan,generic,QIHOO 360 TECHNOLOGY CO. LTD.
.ao,country-code,Faculdade de Engenharia da Universidade Agostinho Neto
.apartments,generic,"June Maple, LLC"
.app,generic,Charleston Road Registry Inc.
.apple,generic,Apple Inc.
.aq,country-code,Antarctica Network Information Centre Limited
.aquarelle,generic,Aquarelle.com
.ar,country-code,Presidencia de la Nación – Secretaría Legal y Técnica
.aramco,generic,Aramco Services Company
.archi,generic,STARTING DOT LIMITED
.army,generic,United TLD Holdco Ltd.
.arpa,infrastructure,Internet Architecture Board (IAB)
.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.
.as,country-code,AS Domain Registry
.asia,sponsored,DotAsia Organisation Ltd.
.associates,generic,"Baxter Hill, LLC"
.at,country-code,nic.at GmbH
.attorney,generic,"United TLD Holdco, Ltd"
.au,country-code,.au Domain Administration (auDA)
.auction,generic,"United TLD HoldCo, Ltd."
.audi,generic,AUDI Aktiengesellschaft
.audio,generic,"Uniregistry, Corp."
.author,generic,"Amazon Registry Services, Inc."
.auto,generic,Cars Registry Limited
.autos,generic,"DERAutos, LLC"
.avianca,generic,Aerovias del Continente Americano S.A. Avianca
.aw,country-code,SETAR
.aws,generic,"Amazon Registry Services, Inc."
.ax,country-code,Ålands landskapsregering
.axa,generic,AXA SA
.az,country-code,IntraNS
.azure,generic,Microsoft Corporation
.ba,country-code,Universtiy Telinformatic Centre (UTIC)
.baby,generic,"Johnson & Johnson Services, Inc."
.baidu,generic,"Baidu, Inc."
